v8-version,7,8,279,23,-node.34,0
code-creation,Builtin,3,20189,0x1369b40,565,ArrayIndexOf
code-creation,Builtin,3,20203,0x1369d80,12,ArrayPop
code-creation,Builtin,3,20216,0x1369da0,708,ArrayPrototypePop
code-creation,Builtin,3,20244,0x136a080,12,ArrayPush
code-creation,Builtin,3,20257,0x136a0a0,2742,ArrayPrototypePush
code-creation,Builtin,3,20271,0x136ab60,12,ArrayShift
code-creation,Builtin,3,20285,0x136ab80,12,ArrayUnshift
code-creation,Builtin,3,20299,0x136aba0,1106,CloneFastJSArray
code-creation,Builtin,3,20314,0x136b000,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,20331,0x136ba20,1146,ExtractFastJSArray
code-creation,Builtin,3,20347,0x136bea0,299,ArrayPrototypeEntries
code-creation,Builtin,3,20364,0x136bfe0,279,ArrayPrototypeKeys
code-creation,Builtin,3,20378,0x136c100,299,ArrayPrototypeValues
code-creation,Builtin,3,20392,0x136c240,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,20408,0x136d320,3800,FlattenIntoArray
code-creation,Builtin,3,20422,0x136e200,3764,FlatMapIntoArray
code-creation,Builtin,3,20437,0x136f0c0,528,ArrayPrototypeFlat
code-creation,Builtin,3,20451,0x136f2e0,576,ArrayPrototypeFlatMap
code-creation,Builtin,3,20467,0x136f540,12,ArrayBufferConstructor
code-creation,Builtin,3,20491,0x136f560,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,20510,0x136f580,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,20527,0x136f5a0,12,ArrayBufferIsView
code-creation,Builtin,3,20542,0x136f5c0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,20557,0x136f5e0,628,AsyncFunctionEnter
code-creation,Builtin,3,20571,0x136f860,161,AsyncFunctionReject
code-creation,Builtin,3,20587,0x136f920,153,AsyncFunctionResolve
code-creation,Builtin,3,20602,0x136f9c0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,20619,0x136f9e0,1298,AsyncFunctionAwaitCaught
code-creation,Builtin,3,20635,0x136ff00,1298,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,20651,0x1370420,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,20668,0x13704e0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,20686,0x13705a0,12,BigIntConstructor
code-creation,Builtin,3,20701,0x13705c0,12,BigIntAsUintN
code-creation,Builtin,3,20715,0x13705e0,12,BigIntAsIntN
code-creation,Builtin,3,20728,0x1370600,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,20744,0x1370620,12,BigIntPrototypeToString
code-creation,Builtin,3,20759,0x1370640,12,BigIntPrototypeValueOf
code-creation,Builtin,3,20774,0x1370660,186,BooleanPrototypeToString
code-creation,Builtin,3,20790,0x1370720,178,BooleanPrototypeValueOf
code-creation,Builtin,3,20806,0x13707e0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,20824,0x1370800,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,20841,0x1370820,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,20857,0x1370840,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,20874,0x1370860,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,20890,0x1370880,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,20906,0x13708a0,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,20923,0x13708c0,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,20940,0x13708e0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,20957,0x1370900,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,20975,0x1370920,12,CallSitePrototypeGetThis
code-creation,Builtin,3,20991,0x1370940,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,21008,0x1370960,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,21025,0x1370980,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,21042,0x13709a0,12,CallSitePrototypeIsEval
code-creation,Builtin,3,21056,0x13709c0,12,CallSitePrototypeIsNative
code-creation,Builtin,3,21071,0x13709e0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,21086,0x1370a00,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,21102,0x1370a20,12,CallSitePrototypeToString
code-creation,Builtin,3,21117,0x1370a40,12,ConsoleDebug
code-creation,Builtin,3,21131,0x1370a60,12,ConsoleError
code-creation,Builtin,3,21145,0x1370a80,12,ConsoleInfo
code-creation,Builtin,3,21158,0x1370aa0,12,ConsoleLog
code-creation,Builtin,3,21170,0x1370ac0,12,ConsoleWarn
code-creation,Builtin,3,21183,0x1370ae0,12,ConsoleDir
code-creation,Builtin,3,21196,0x1370b00,12,ConsoleDirXml
code-creation,Builtin,3,21210,0x1370b20,12,ConsoleTable
code-creation,Builtin,3,21224,0x1370b40,12,ConsoleTrace
code-creation,Builtin,3,21238,0x1370b60,12,ConsoleGroup
code-creation,Builtin,3,21251,0x1370b80,12,ConsoleGroupCollapsed
code-creation,Builtin,3,21265,0x1370ba0,12,ConsoleGroupEnd
code-creation,Builtin,3,21277,0x1370bc0,12,ConsoleClear
code-creation,Builtin,3,21290,0x1370be0,12,ConsoleCount
code-creation,Builtin,3,21307,0x1370c00,12,ConsoleCountReset
code-creation,Builtin,3,21344,0x1370c20,12,ConsoleAssert
code-creation,Builtin,3,21361,0x1370c40,402,FastConsoleAssert
code-creation,Builtin,3,21375,0x1370de0,12,ConsoleProfile
code-creation,Builtin,3,21387,0x1370e00,12,ConsoleProfileEnd
code-creation,Builtin,3,21400,0x1370e20,12,ConsoleTime
code-creation,Builtin,3,21413,0x1370e40,12,ConsoleTimeLog
code-creation,Builtin,3,21426,0x1370e60,12,ConsoleTimeEnd
code-creation,Builtin,3,21439,0x1370e80,12,ConsoleTimeStamp
code-creation,Builtin,3,21459,0x1370ea0,12,ConsoleContext
code-creation,Builtin,3,21472,0x1370ec0,12,DataViewConstructor
code-creation,Builtin,3,21486,0x1370ee0,12,DateConstructor
code-creation,Builtin,3,21499,0x1370f00,259,DatePrototypeGetDate
code-creation,Builtin,3,21512,0x1371020,259,DatePrototypeGetDay
code-creation,Builtin,3,21525,0x1371140,259,DatePrototypeGetFullYear
code-creation,Builtin,3,21539,0x1371260,259,DatePrototypeGetHours
code-creation,Builtin,3,21552,0x1371380,227,DatePrototypeGetMilliseconds
code-creation,Builtin,3,21565,0x1371480,259,DatePrototypeGetMinutes
code-creation,Builtin,3,21579,0x13715a0,259,DatePrototypeGetMonth
code-creation,Builtin,3,21592,0x13716c0,259,DatePrototypeGetSeconds
code-creation,Builtin,3,21605,0x13717e0,146,DatePrototypeGetTime
code-creation,Builtin,3,21618,0x1371880,227,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,21632,0x1371980,227,DatePrototypeGetUTCDate
code-creation,Builtin,3,21646,0x1371a80,227,DatePrototypeGetUTCDay
code-creation,Builtin,3,21659,0x1371b80,227,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,21673,0x1371c80,227,DatePrototypeGetUTCHours
