v8-version,7,8,279,23,-node.34,0
code-creation,Builtin,3,17938,0x1370e80,12,ConsoleTimeStamp
code-creation,Builtin,3,17943,0x1370ea0,12,ConsoleContext
code-creation,Builtin,3,17949,0x1370ec0,12,DataViewConstructor
code-creation,Builtin,3,17954,0x1370ee0,12,DateConstructor
code-creation,Builtin,3,17960,0x1370f00,259,DatePrototypeGetDate
code-creation,Builtin,3,17966,0x1371020,259,DatePrototypeGetDay
code-creation,Builtin,3,17971,0x1371140,259,DatePrototypeGetFullYear
code-creation,Builtin,3,17977,0x1371260,259,DatePrototypeGetHours
code-creation,Builtin,3,17983,0x1371380,227,DatePrototypeGetMilliseconds
code-creation,Builtin,3,17989,0x1371480,259,DatePrototypeGetMinutes
code-creation,Builtin,3,17995,0x13715a0,259,DatePrototypeGetMonth
code-creation,Builtin,3,18001,0x13716c0,259,DatePrototypeGetSeconds
code-creation,Builtin,3,18007,0x13717e0,146,DatePrototypeGetTime
code-creation,Builtin,3,18013,0x1371880,227,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,18019,0x1371980,227,DatePrototypeGetUTCDate
code-creation,Builtin,3,18025,0x1371a80,227,DatePrototypeGetUTCDay
code-creation,Builtin,3,18031,0x1371b80,227,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,18037,0x1371c80,227,DatePrototypeGetUTCHours
code-creation,Builtin,3,18043,0x1371d80,227,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,18049,0x1371e80,227,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,18056,0x1371f80,227,DatePrototypeGetUTCMonth
code-creation,Builtin,3,18062,0x1372080,227,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,18068,0x1372180,146,DatePrototypeValueOf
code-creation,Builtin,3,18073,0x1372220,464,DatePrototypeToPrimitive
code-creation,Builtin,3,18079,0x1372400,12,DatePrototypeGetYear
code-creation,Builtin,3,18085,0x1372420,12,DatePrototypeSetYear
code-creation,Builtin,3,18091,0x1372440,12,DateNow
code-creation,Builtin,3,18096,0x1372460,12,DateParse
code-creation,Builtin,3,18101,0x1372480,12,DatePrototypeSetDate
code-creation,Builtin,3,18107,0x13724a0,12,DatePrototypeSetFullYear
code-creation,Builtin,3,18113,0x13724c0,12,DatePrototypeSetHours
code-creation,Builtin,3,18120,0x13724e0,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,18126,0x1372500,12,DatePrototypeSetMinutes
code-creation,Builtin,3,18132,0x1372520,12,DatePrototypeSetMonth
code-creation,Builtin,3,18138,0x1372540,12,DatePrototypeSetSeconds
code-creation,Builtin,3,18145,0x1372560,12,DatePrototypeSetTime
code-creation,Builtin,3,18151,0x1372580,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,18157,0x13725a0,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,18163,0x13725c0,12,DatePrototypeSetUTCHours
code-creation,Builtin,3,18169,0x13725e0,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,18175,0x1372600,12,DatePrototypeSetUTCMinutes
